group,team,confederation,is_host,model_rating_seed,rating_note
A,Mexico,CONCACAF,1,79,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
A,South Africa,CAF,0,68,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
A,Korea Republic,AFC,0,78,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
A,Czechia,UEFA,0,75,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
B,Canada,CONCACAF,1,74,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
B,Bosnia and Herzegovina,UEFA,0,70,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
B,Qatar,AFC,0,69,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
B,Switzerland,UEFA,0,81,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
C,Brazil,CONMEBOL,0,91,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
C,Morocco,CAF,0,83,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
C,Haiti,CONCACAF,0,61,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
C,Scotland,UEFA,0,75,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
D,United States,CONCACAF,1,79,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
D,Paraguay,CONMEBOL,0,76,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
D,Australia,AFC,0,74,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
D,Türkiye,UEFA,0,80,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
E,Germany,UEFA,0,88,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
E,Curaçao,CONCACAF,0,60,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
E,Ivory Coast,CAF,0,76,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
E,Ecuador,CONMEBOL,0,80,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
F,Netherlands,UEFA,0,88,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
F,Japan,AFC,0,80,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
F,Sweden,UEFA,0,79,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
F,Tunisia,CAF,0,72,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
G,Belgium,UEFA,0,85,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
G,Egypt,CAF,0,77,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
G,Iran,AFC,0,77,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
G,New Zealand,OFC,0,64,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
H,Spain,UEFA,0,94,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
H,Cape Verde,CAF,0,66,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
H,Saudi Arabia,AFC,0,69,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
H,Uruguay,CONMEBOL,0,85,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
I,France,UEFA,0,93,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
I,Senegal,CAF,0,82,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
I,Iraq,AFC,0,70,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
I,Norway,UEFA,0,82,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
J,Argentina,CONMEBOL,0,93,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
J,Algeria,CAF,0,78,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
J,Austria,UEFA,0,80,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
J,Jordan,AFC,0,67,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
K,Portugal,UEFA,0,90,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
K,DR Congo,CAF,0,68,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
K,Uzbekistan,AFC,0,70,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
K,Colombia,CONMEBOL,0,82,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
L,England,UEFA,0,92,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
L,Croatia,UEFA,0,84,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
L,Ghana,CAF,0,73,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
L,Panama,CONCACAF,0,67,Starter rating for MVP demo. Replace with official FIFA ranking/Elo feed before publishing formal predictions.
